beta beta_iter P sp_state
10 5 10 0.5519149999999999
10 5 20 0.981885
10 5 30 0.9994500000000001
10 10 10 0.49291399999999996
10 10 20 0.979823
10 10 30 0.9992949999999999
10 15 10 0.470245
10 15 20 0.977686
10 15 30 0.9995299999999999
11 5 10 0.553473
11 5 20 0.9817899999999999
11 5 30 0.999188
11 10 10 0.497913
11 10 20 0.978968
11 10 30 0.999289
11 15 10 0.474775
11 15 20 0.976854
11 15 30 0.999312
12 5 10 0.55098
12 5 20 0.981024
12 5 30 0.9993289999999999
12 10 10 0.511839
12 10 20 0.9779650000000001
12 10 30 0.999441
12 15 10 0.475148
12 15 20 0.9786
12 15 30 0.9995539999999999
13 5 10 0.551421
13 5 20 0.982023
13 5 30 0.999254
13 10 10 0.504115
13 10 20 0.9804339999999999
13 10 30 0.999443
13 15 10 0.469995
13 15 20 0.97689
13 15 30 0.998779
14 5 10 0.5565249999999999
14 5 20 0.9817870000000001
14 5 30 0.999173
14 10 10 0.503591
14 10 20 0.9785510000000001
14 10 30 0.999459
14 15 10 0.48458
14 15 20 0.9773419999999999
14 15 30 0.9992329999999999
15 5 10 0.55772
15 5 20 0.981578
15 5 30 0.99918
15 10 10 0.509627
15 10 20 0.978015
15 10 30 0.9994890000000001
